Artist,Similarity Score
A$AP Rocky;Skepta,0.995
Drake;Travis Scott,0.993
Kendrick Lamar,0.99
Jaura Phagwara,0.989
Kendrick Lamar;SZA,0.987
Shubh,0.987
Anirudh Ravichander;Adithya RK,0.986
AP Dhillon;Amari,0.986
Yashraj;Dropped Out;Talwiinder,0.985
The Kid LAROI,0.985
