Artist,Similarity Score
B Praak;Nawazuddin Siddiqui;Sunanda Sharma,0.991
Sam C.S.;Anirudh Ravichander;Shakthisree Gopalan,0.99
Rochak Kohli;Ayushmann Khurrana,0.99
Harvi,0.989
Rochak Kohli;Jubin Nautiyal;Neeti Mohan,0.989
Harrdy Sandhu,0.988
QARAN;Ash King,0.988
Khan Bhaini,0.988
Ed Sheeran,0.988
Sanam,0.988
