Artist,Similarity Score
Masked Wolf,0.998
A$AP Rocky;Skepta,0.994
Eminem,0.994
Anirudh Ravichander;Adithya RK,0.993
Kendrick Lamar;Blxst;Amanda Reifer,0.991
Shubh,0.99
Kendrick Lamar;SZA,0.99
Drake,0.99
Kanika Kapoor;Devi Sri Prasad,0.989
Eminem;Dina Rae,0.989
